Site;Location;Lattitude;Longitude;MAT;MAP;elevation;participation;Label;Block;Treatment;VegetationOG;Vegetationtype;Label2;Startyear;Time
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-S3;3;OTC;alpine_grassland;Shrub snowbed;I_C10_3;2008;16,00
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-S4;4;OTC;alpine_grassland;Shrub snowbed;I_C6_2;2008;16,00
Pga3;PassoGavia;46,34;10,4986;-3,85;1572,4;2700;17;Pg-it-OTC-S5;5;OTC;alpine_grassland;Shrub snowbed;I_G4_3;2008;16,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-cont-1-1;1;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_cont_11;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-cont-2-1;2;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_Sp_cont_21;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-cont-2-2;2;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_cont_22;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-cont-3-1;3;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_Sp_control_31;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-cont-3-2;3;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_cont_32;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-cont-4-1;4;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_Sp_cont_41_1;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-OTC-1-1;1;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_OTC_11_1;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-OTC-2-1;2;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_OTC_2_1;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-OTC-2-2;2;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_OTC_22;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-OTC-3-1;3;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_OTC_31;2017;7,00
ra.sp;Ratera;42,61;0,96021;0,15;1740,2;2560;8;Ra-sp-OTC-4-2;4;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_Ra_Sp_OTC_42;2017;7,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-cont-1-3;1;C;alpine grassland/snowbed;Moss snowbed;No_Sk_No_cont_13;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-cont-2-6;2;C;alpine grassland/snowbed;Moss snowbed;No_Sk_No_cont_86;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-cont-3-6;3;C;alpine grassland/snowbed;Moss snowbed;No_Sk_No_cont_36;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-cont-4-5;4;C;alpine grassland/snowbed;Moss snowbed;No_Sk_No_cont_45;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-cont-6-2;6;C;alpine grassland/snowbed;Moss snowbed;No_Sk_No_cont_62;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-cont-7-1;7;C;alpine grassland/snowbed;Moss snowbed;NO_Sk_con_71;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-OTC-1-4;1;OTC;alpine grassland/snowbed;Moss snowbed;No_Sk_MC_OTC_34;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-OTC-2-1;2;OTC;alpine grassland/snowbed;Moss snowbed;No_Ui_No_OTC_21;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-OTC-3-3;3;OTC;alpine grassland/snowbed;Moss snowbed;No_Sk_No_OTC_33;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-OTC-4-2;4;OTC;alpine grassland/snowbed;Moss snowbed;No_Sk_No_OTC_42;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-OTC-6-4;6;OTC;alpine grassland/snowbed;Moss snowbed;No_Sk_No_OTC_64;2016;8,00
sk.no;Skjelingahaugen;60,94;6,438079597;1,25;2870,2;1006;9;Sk-no-OTC-7-5;7;OTC;alpine grassland/snowbed;Moss snowbed;No_Sk_No_OTC_75;2016;8,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-12;12;C;dry tundra;Moss snowbed;No_Sval_12_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-23;23;C;dry tundra;Moss snowbed;No_Sval_22_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-28;28;C;dry tundra;Moss snowbed;No_Sval_28_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-29;29;C;dry tundra;Moss snowbed;No_Sval_29_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-38;38;C;dry tundra;Moss snowbed;No_Sval_38_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-40;40;C;dry tundra;Moss snowbed;No_Sval_40_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-46;46;C;dry tundra;Moss snowbed;No_Sval_46_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-49;49;C;dry tundra;Moss snowbed;No_Sval_49_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-6;6;C;dry tundra;Moss snowbed;No_Sval_6_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-cont-8;8;C;dry tundra;Moss snowbed;No_Sval_8_MIMO;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-1;1;OTC;dry tundra;Moss snowbed;No_Sval_1_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-12;12;OTC;dry tundra;Moss snowbed;No_Sval_12_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-18;18;OTC;dry tundra;Moss snowbed;No_Sval_40_18_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-22;22;OTC;dry tundra;Moss snowbed;No_Sval_22_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-23;23;OTC;dry tundra;Moss snowbed;No_Sval_23_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-28;28;OTC;dry tundra;Moss snowbed;No_Sval_28_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-29;29;OTC;dry tundra;Moss snowbed;No_Sval_29_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-35;35;OTC;dry tundra;Moss snowbed;No_Sval_35_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-38;38;OTC;dry tundra;Moss snowbed;No_Sval_38_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-40;40;OTC;dry tundra;Moss snowbed;No_Sval_40_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-46;46;OTC;dry tundra;Moss snowbed;No_Sval_46_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-49;49;OTC;dry tundra;Moss snowbed;No_Sval_No_49_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-6;6;OTC;dry tundra;Moss snowbed;No_Sval_6_OTC;2015;9,00
sv.no;Svalbard;78,53;16,307;-7,25;304,4;70;10;Sv-no-OTC-8;8;OTC;dry tundra;Moss snowbed;No_Sval_8_OTC;2015;9,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-cont-2-4;2;C;alpine grassland;Wet meadow tundra;No_Ui_No_C_24;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-cont-3-4;3;C;alpine grassland;Wet meadow tundra;No_Ui_No_C_34;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-cont-4-5;4;C;alpine grassland;Wet meadow tundra;No_Ui_No_cont_45;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-cont-5-5;5;C;alpine grassland;Wet meadow tundra;No_Ui_C_551;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-cont-6-2;6;C;alpine grassland;Wet meadow tundra;Ui_Ui_No_C621;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-cont-7-6;7;C;alpine grassland;Wet meadow tundra;No_U_No_cont_76;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-OTC-1-3;1;OTC;alpine grassland;Wet meadow tundra;No_UI_OTC_131;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-OTC-3-2;3;OTC;alpine grassland;Wet meadow tundra;No_Ui_No_OTC_32;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-OTC-4-2;4;OTC;alpine grassland;Wet meadow tundra;No_Ui_No_OTC_42;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-OTC-5-2;5;OTC;alpine grassland;Wet meadow tundra;No_Ui_OTC_521;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-OTC-6-4;6;OTC;alpine grassland;Wet meadow tundra;No_Ui_OTC_641;2016;8,00
ul.no;Ulvhaugen;68,54;16,48647155;3,25;1536,3;24;9;Ul-no-OTC-7-2;7;OTC;alpine grassland;Wet meadow tundra;No_Ui_No_OTC_72;2016;8,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-cont-1-1;1;C;Salix herbacea snowbed;Shrub snowbed;Ui_Ui_Sp_cont_11_1;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-cont-1-2;1;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_cont_12;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-cont-2-1;2;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_cont_21;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-cont-2-2;2;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_cont_22;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-cont-3-1;3;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_cont_31;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-cont-4-1;4;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_cont_41;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-cont-4-2;4;C;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_cont_42;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-OTC-1-1;1;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_OTC_11;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-OTC-1-2;1;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_OTC_12;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-OTC-2-2;2;OTC;Salix herbacea snowbed;Shrub snowbed;Ui_Ui_Sp_OTC_22;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-OTC-3-1;3;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_OTC_C31;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-OTC-3-2;3;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_Ui_Sp_OTC_32;2019;5,00
ul.sp;Ulldeter;42;23;0,65;1289,9;2400;6;Ul-sp-OTC-4-1;4;OTC;Salix herbacea snowbed;Shrub snowbed;Sp_UI_Sp_OTC_41;2019;5,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-cont-1;1;C;high alpine grassland;Alpine grassland;Zwi_Val_B_C11_C1;1994;30,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-cont-2;2;C;high alpine grassland;Alpine grassland;Zwi_Val_B_C24_C2;1994;30,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-cont-4;3;C;high alpine grassland;Alpine grassland;Zwi_Val_B_C4_1C4;1994;30,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-cont-6;4;C;high alpine grassland;Alpine grassland;Zwi_Val_B_C6;1994;30,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-cont-8;5;C;high alpine grassland;Alpine grassland;Zwi_Val_B_C_81C8;1994;30,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-OTC-1;6;OTC;high alpine grassland;Alpine grassland;Zwi_Val_B_011_OTC_1;1994;30,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-OTC-2;7;OTC;high alpine grassland;Alpine grassland;Zwi_Val_B_02l_OTC_2;1994;30,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-OTC-4;8;OTC;high alpine grassland;Alpine grassland;Zwi_Val_B_041_OTC_4;1994;30,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-OTC-6;9;OTC;high alpine grassland;Alpine grassland;Zwi_Val_B0616_OTC;1994;30,00
vb.ch;Valbercla;46,48;9,584303;-2,45;2039,2;2500;31;Vb-ch-OTC-8;10;OTC;high alpine grassland;Alpine grassland;Zwi_Val_B_D_81_OTC_8;1994;30,00
wh.ch;Davos;46,76;9,8578;-1,85;1657,3;2296;11;Wh-ch-cont-1-2;1;C;alpine grassland and heath;Heath;Swi_Wahi_12_AC;2014;10,00
wh.ch;Davos;46,76;9,8578;-1,85;1657,3;2296;11;Wh-ch-cont-2-4;2;C;alpine grassland and heath;Heath;Swi_Swi_Wahi_24_AC;2014;10,00
wh.ch;Davos;46,76;9,8578;-1,85;1657,3;2296;11;Wh-ch-cont-4-4;3;C;alpine grassland and heath;Heath;Swi_Wahi_4AC;2014;10,00
wh.ch;Davos;46,76;9,8578;-1,85;1657,3;2296;11;Wh-ch-cont-7-2;4;C;alpine grassland and heath;Heath;Swi_Swi_Wahi_72_AC;2014;10,00
wh.ch;Davos;46,76;9,8578;-1,85;1657,3;2296;11;Wh-ch-OTC-1-1;5;OTC;alpine grassland and heath;Heath;Swi_Wahi_11_WC;2014;10,00
wh.ch;Davos;46,76;9,8578;-1,85;1657,3;2296;11;Wh-ch-OTC-2-2;6;OTC;alpine grassland and heath;Heath;Swi_Wahi_22_WC;2014;10,00
wh.ch;Davos;46,76;9,8578;-1,85;1657,3;2296;11;Wh-ch-OTC-4-2;7;OTC;alpine grassland and heath;Heath;Swi_Wahi_42_WC;2014;10,00
wh.ch;Davos;46,76;9,8578;-1,85;1657,3;2296;11;Wh-ch-OTC-5-4;8;OTC;alpine grassland and heath;Heath;Swi_Wahi_54_WC;2014;10,00
wh.ch;Davos;46,76;9,8578;-1,85;1657,3;2296;11;Wh-ch-OTC-7-4;9;OTC;alpine grassland and heath;Heath;Swi_Wahi_14_WC;2014;10,00
wl.ch;Davos;46,76;9,8578;-0,25;1627,6;2033;11;Wl-ch-cont-1-3;15;C;subalpine heath (Vaccinium ssp.);Heath;Swi_Walo_13_AC;2014;10,00
wl.ch;Davos;46,76;9,8578;-0,25;1627,6;2033;11;Wl-ch-cont-3-1;16;C;subalpine heath (Vaccinium ssp.);Heath;Sw_Walo_31_AC;2014;10,00
wl.ch;Davos;46,76;9,8578;-0,25;1627,6;2033;11;Wl-ch-cont-4-4;17;C;subalpine heath (Vaccinium ssp.);Heath;Sw_Walo_44_AC;2014;10,00
wl.ch;Davos;46,76;9,8578;-0,25;1627,6;2033;11;Wl-ch-cont-7-2;18;C;subalpine heath (Vaccinium ssp.);Heath;Sw_Walo_72_AC;2014;10,00
wl.ch;Davos;46,76;9,8578;-0,25;1627,6;2033;11;Wl-ch-1-2 WC;10;OTC;subalpine heath (Vaccinium ssp.);Heath;Sw_Sw_Walo_12;2014;10,00
wl.ch;Davos;46,76;9,8578;-0,25;1627,6;2033;11;Wl-ch-3-2-WC;11;OTC;subalpine heath (Vaccinium ssp.);Heath;Sw_Walo_10_32_WC;2014;10,00
wl.ch;Davos;46,76;9,8578;-0,25;1627,6;2033;11;Wl-ch-4-3-WC;12;OTC;subalpine heath (Vaccinium ssp.);Heath;Swi_Swi_Walo_43_WC;2014;10,00
wl.ch;Davos;46,76;9,8578;-0,25;1627,6;2033;11;Wl-ch-6-3-WC;13;OTC;subalpine heath (Vaccinium ssp.);Heath;Swi_Walo_63_WC;2014;10,00
wl.ch;Davos;46,76;9,8578;-0,25;1627,6;2033;11;Wl-ch-7-4-WC;14;OTC;subalpine heath (Vaccinium ssp.);Heath;Swi_Swi_Walo_74_WC;2014;10,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T22AFO;2;C;Tundra wetland;Wet meadow tundra;Ut_Low_22_AFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T23AFO;3;C;Tundra wetland;Wet meadow tundra;Ut_Low_23_AFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T24AFO;4;C;Tundra wetland;Wet meadow tundra;Ut_Low_T24_AFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T25AFO;5;C;Tundra wetland;Wet meadow tundra;Ut_10w_25_AFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T26AFO;6;C;Tundra wetland;Wet meadow tundra;Ut_10w_26_AFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T27AFO;7;C;Tundra wetland;Wet meadow tundra;Ut_Low_27_AFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T22WFO;2;OTC;Tundra wetland;Wet meadow tundra;Ut_Low_T22_WFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T23WFO;3;OTC;Tundra wetland;Wet meadow tundra;Ut_23_AFO_Low;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T24WFO;4;OTC;Tundra wetland;Wet meadow tundra;Ut_Low_T_24_WFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T25WFO;5;OTC;Tundra wetland;Wet meadow tundra;Ut_Low_25_WFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T26WFO;6;OTC;Tundra wetland;Wet meadow tundra;Ut_Low_26_WFO;2022;2,00
yk.low;Yukon;64,3;-165,43;-1,35;743,5;70;3;Yk-lo-T27WFO;7;OTC;Tundra wetland;Wet meadow tundra;Ut_Low_27_WFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T42AFO;2;C;Tundra heath;Heath;Ut_Ut_UPT_42_AFO_1;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T43AFO;3;C;Tundra heath;Heath;Ut_Ut_UPT_42_WFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T44AFO;4;C;Tundra heath;Heath;Yk-up-T44AFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T45AFO;5;C;Tundra heath;Heath;Ut_Ut_UPT_45_AFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T46AFO;6;C;Tundra heath;Heath;Ut_Ut_UPT_46_AFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T47AFO;7;C;Tundra heath;Heath;Ut_UPT_47_AFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T42WFO;2;OTC;Tundra heath;Heath;Ut_Ut_UPT_42_AFO_2;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T43WFO;3;OTC;Tundra heath;Heath;Ut_UT_UPT_43_WFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T44WFO;4;OTC;Tundra heath;Heath;Yk-up-T44WFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T45WFO;5;OTC;Tundra heath;Heath;Ut_UPT_45_WFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T46WFO;6;OTC;Tundra heath;Heath;Ut_Ut_UPT_46_WFO;2022;2,00
yk.up;Yukon;64,3;-165,43;-1,35;742,4;70;3;Yk-up-T47WFO;7;OTC;Tundra heath;Heath;Ut_UPT_47_WFO;2022;2,00
